filter_id,variant,expression,layman_explanation,stat,source
1F295,tens,(sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <17 and winner_structure == 5 and winner_structure == 5),Eliminate if (variant_name equals 'tens') AND (sum(1 for d in combo_digits if d in seed value_digits) is ≥5 AND winner value is <17 AND winner value_structure equals 5 AND winner value_structure equals 5),24/311,keeper
1F296,tens,(sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <16 and winner_structure == 5 and winner_structure == 5),Eliminate if (variant_name equals 'tens') AND (sum(1 for d in combo_digits if d in seed value_digits) is ≥5 AND winner value is <16 AND winner value_structure equals 5 AND winner value_structure equals 5),19/311,keeper
1F297,tens,(sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <15 and winner_structure == 5 and winner_structure == 5),Eliminate if (variant_name equals 'tens') AND (sum(1 for d in combo_digits if d in seed value_digits) is ≥5 AND winner value is <15 AND winner value_structure equals 5 AND winner value_structure equals 5),13/311,keeper
1F543,tens,(winner_structure == 2),Eliminate if (variant_name equals 'tens') AND (winner value_structure equals 2),0/311,keeper
1F567,tens,(len(set(combo_digits)) < 5),Eliminate if (variant_name equals 'tens') AND (len(set(combo_digits)) is < 5),4/311,keeper
1F579,tens,"(sorted(Counter(combo_digits).values()) == [2, 2, 1])","Eliminate if (variant_name equals 'tens') AND (sorted(Counter(combo_digits).values()) equals [2, 2, 1])",0/311,keeper
1F582,tens,(3 in Counter(combo_digits).values()),Eliminate if (variant_name equals 'tens') AND (3 in Counter(combo_digits).values()),167/311,keeper
1F583,tens,(3 in Counter(combo_digits).values()),Eliminate if (variant_name equals 'tens') AND (3 in Counter(combo_digits).values()),167/311,keeper
1F587,tens,(3 in Counter(combo_digits).values()),Eliminate if (variant_name equals 'tens') AND (3 in Counter(combo_digits).values()),167/311,keeper
1F589,tens,"(sorted(Counter(combo_digits).values()) == [2, 2, 1])","Eliminate if (variant_name equals 'tens') AND (sorted(Counter(combo_digits).values()) equals [2, 2, 1])",0/311,keeper
1F590,tens,(3 in Counter(combo_digits).values()),Eliminate if (variant_name equals 'tens') AND (3 in Counter(combo_digits).values()),167/311,keeper
1F594,tens,(3 in Counter(combo_digits).values()),Eliminate if (variant_name equals 'tens') AND (3 in Counter(combo_digits).values()),167/311,keeper
1F595,tens,"(sorted(Counter(combo_digits).values()) == [2, 2, 1])","Eliminate if (variant_name equals 'tens') AND (sorted(Counter(combo_digits).values()) equals [2, 2, 1])",0/311,keeper
1F596,tens,(3 in Counter(combo_digits).values()),Eliminate if (variant_name equals 'tens') AND (3 in Counter(combo_digits).values()),167/311,keeper
1F601,tens,(len(set(combo_digits)) == 5),Eliminate if (variant_name equals 'tens') AND (len(set(combo_digits)) equals 5),54/311,keeper
1F603,tens,(len(set(combo_digits).intersection(seed_digits)) == 1),Eliminate if (variant_name equals 'tens') AND (len(set(combo_digits).intersection(seed value_digits)) equals 1),0/311,keeper
1F605,tens,(len(set(combo_digits).intersection(seed_digits)) > 3),Eliminate if (variant_name equals 'tens') AND (len(set(combo_digits).intersection(seed value_digits)) is > 3),242/311,keeper
1F606,tens,(len(set(combo_digits).intersection(seed_digits)) > 3),Eliminate if (variant_name equals 'tens') AND (len(set(combo_digits).intersection(seed value_digits)) is > 3),242/311,keeper
